site,rows,valid_classes,anchor_auc,v616_auc,candidate_auc,lift_vs_v616,lift_vs_anchor,positive_cells,positive_mean_delta_vs_v616,negative_mean_delta_vs_v616,valid_class_list
S18,15,4,0.9050324675324676,0.9050324675324676,0.9000324675324675,-0.0050000000000001155,-0.0050000000000001155,19,0.0013245249865576625,0.01741855777800083,"22967,24279,517063,555146"
S09,19,5,0.9486928104575163,1.0,1.0,0.0,0.0513071895424837,20,-0.002933371113613248,-0.023968743160367012,"516975,chacha1,grekis,plcjay1,thlwre1"
S13,24,6,0.9503472222222222,0.9923225308641975,0.9930748456790123,0.0007523148148147474,0.04272762345679004,59,-0.0021893130615353584,0.014953707344830036,"1491113,22961,23158,517063,65377,65380"
S08,60,19,0.9842245794021945,0.985618372636464,0.9872979543683784,0.0016795817319144035,0.0030733749661838727,322,-0.00014703688793815672,0.001981855370104313,"116570,47158son01,47158son03,47158son05,47158son08,47158son10,47158son11,47158son13,47158son15,47158son16,47158son17,47158son18,47158son19,47158son20,47158son21,47158son22,47158son23,47158son25,chacha1"
S03,24,4,0.9623376623376624,0.9623376623376624,0.9737012987012987,0.011363636363636354,0.011363636363636354,60,0.0012416193494573236,0.026494532823562622,"1491113,22967,22973,517063"
S22,48,15,0.9467059355694917,0.9630222191445238,0.9756676919305055,0.012645472785981715,0.028961756361013835,190,-6.846158066764474e-05,0.0019174676854163408,"22967,22973,47144,517063,555146,65380,74113,bunibi1,chacha1,compau,litnig1,nacnig1,strher2,trsowl,undtin1"
