group,classes,positives,mean_lift_vs_v616,median_lift_vs_v616,min_lift_vs_v616,max_lift_vs_v616,p_gt_0,positive_delta_mean
Mammalia,3,22,-0.0012768448851462333,-0.0011709601873536313,-0.0026595744680850686,0.0,0.0,0.0004120399244129658
no_train_primary,19,376,0.00018975557862796916,0.0,0.0,0.0014238253440911341,0.2631578947368421,-0.00016266829966058905
Amphibia,8,169,0.0027841881696522436,0.0,-0.0018115942028985588,0.022702702702702693,0.375,0.0009882627452193482
Reptilia,1,10,0.004722222222222294,0.004722222222222294,0.004722222222222294,0.004722222222222294,1.0,-0.003566700266674161
Aves,11,93,0.0054489166603626646,0.000507872016251909,-0.0008691873098652936,0.037234042553191626,0.6363636363636364,0.0014603910136760203
